State,index,Data Tools/Application Name,Data Source Name,Web Link to Data Tool,Brief Description,Notes
,2,Vital Statistics of Illinois,Illinois Department of Public Health,https://dph.illinois.gov/data-statistics/vital-statistics.html,"Births, deaths and marriage data  for state and counties",
,3,Population Projections,Illinois Department of Public Health,https://data.illinois.gov/,Population projections for Illinois and its counties,
,4,Dashboard,Illinois Department of Public Health,Health Disparity Dashboard (illinois.gov),"Health Disparity in Illinois, Chicago and Illinois Counties, 2020 Report",
,5,Dashboard,Illinois Department of Public Health,https://idph.illinois.gov/OpioidDataDashboard/,Opioid Overdose  for Illinois counties,
,6,Website for Data for local health dept.,Illinois Department of Public Health,https://iquery.illinois.gov/iquery/,Data for seven major categories for use by local health departments in Illinois,
,7,BRFSSS website,Illinois Department of Public Health,https://idph.illinois.gov/brfss/,Behavioral Risk Factor Surveillance System (BRFSS) for Illinois,
,8,PRAMS website,Illinois Department of Public Health,https://dph.illinois.gov/data-statistics/pregnancy-risk-assessment-monitoring-system.html,Pregnancy Risk Assessment Monitoring System (PRAMS),
,9,Website for Epidemiologic Studies,Illinois Department of Public Health,https://dph.illinois.gov/data-statistics/epidemiology.html,Data from Cancer Registry and other surveillance systems,
Iowa,1,data.census.gov,U.S. Census Bureau,https://data.census.gov/,"Portal to access/download Decennial Census, ACS, and Economic Census data. Other Census products that are critical but not part of data.census.gov include County Business Patterns, SAIPE, SAHIE, LEHD, and population estimates.",
,2,Yearbook of Immigration Statistics,Homelandsecurity,https://www.dhs.gov/immigration-statistics/yearbook,"Annual publication with data on immigration, naturlizations, some refugee data for states and country of origin",
,3,Bankruptcy filings,Unites States Courts,https://www.uscourts.gov/statistics-reports/caseload-statistics-data-tables,County level data on bankruptcy,
,4,USDA Quick Stats,"USDA, National Agricultural Statistics Service",https://quickstats.nass.usda.gov/,"Source for state and county farm, crop, and livestock data",
,5,HUD Fair Market Rents,HUD,https://www.huduser.gov/portal/datasets/fmr.html,Data used for Section 8 housing,
,6,Vital Statistics of Iowa,Iowa Department of Health and Human Services,https://hhs.iowa.gov/health-statistics/data,"Annual publication  for births, deaths, marriages and dissolutions for Iowa and counties",
Kansas,1,data.census.gov,U.S. Census Bureau,https://data.census.gov/,"Portal to access/download Decennial Census, ACS, and Economic Census data. Other Census products that are critical but not part of data.census.gov include County Business Patterns, SAIPE, SAHIE, LEHD, and population estimates.","I’ve attached the primary resources that I use in the following:
·        Kansas Statistical Abstract (https://ipsr.ku.edu/ksdata/ksah/).  The KSA is an annual compendium of data for Kansas communities.  Organized into seventeen chapters it gives communities free, easy access to key demographic, housing, socio-economic data.
·        Kansas Data Archive (https://ipsr.ku.edu/ksdata/#ksa).  Interactive tool to create tables, graphs, and maps from database with time-series of county and state level (Kansas) data.
·        Kansas Regional Data Portal (https://ipsr.ku.edu/sdc/region.php).  Application designed with and for our Economic Development Districts to assist them in completing their Comprehensive Economic Development Strategy (CEDS) reports.
I use a variety of state sources, but our state lacks data tools.  Most state agencies publish data only in PDF which requires some effort to liberate and make usable for local governments.  I hope this helps!  Please let me know if you have any questions.
Xan"
,2,BEA Regional Economic Information System (REIS),Bureau of Economic Analysis,https://apps.bea.gov/itable/?ReqID=70&step=1,"Interactive tables to obtain state & county level GDP, personal income, and employment (place of work)",
,3,Local Area Employment Statistics (LAU),U.S. Bureau of Labor Statistics,https://www.bls.gov/lau/,"Authorative source for state and county civilian labor force, employment, unemployment, and unemployment rate.",
,4,USDA Quick Stats,"USDA, National Agricultural Statistics Service",https://quickstats.nass.usda.gov/,"Source for state and county farm,  crop, and livestock data",
,5,HUD Fair Market Rents,HUD,https://www.huduser.gov/portal/datasets/fmr.html,Data used for Section 8 housing,
,6,Annual Summary of Vital Statistics,Kansas Department of Health and Environment,https://www.kdhe.ks.gov/DocumentCenter/View/25772/2021-Annual-Summary-Full-Report-?bidId=,"PDF as KDHE does not have a comprehensive, interactive data tool.  This site is used for births, deaths, and other public health data.",
Massachusetts,1,National Historical GIS (NHGIS) Data Finder,US Census data: Decennial and annual,https://data2.nhgis.org/,"time series US Census data including all published products in a search and download format that is very easy to use. We use it for all kinds of research: developing population estimates and projections for general use, for health care statistics for our state DPH, for population projections for our state DOT, for school enrollment projections, and many others",
,2,IPUMS Online Data Analysis System,US Census data: American Community Survey,https://usa.ipums.org/usa/sda/,"time series US Census data including  ACS public use microdata in a search format that is very easy to use. As with other Census data, we use it for all kinds of research: developing population estimates and projections for general use, for health care statistics for our state DPH, for population projections for our state DOT, for school enrollment projections, and many others",
,3,US Census Bureau Population Estimates website,US Census annual population estimates from the US Census Population Division,https://www.census.gov/programs-surveys/popest.html,annual population estimates. The ideal source for post-Censal estimates of total population that are still not available on Census datafinder,
,4,Census Datafinder,US Census data of all types,https://data.census.gov/,I use this only when I have to. The search interface is poorly designed and varying years of data must be downloaded one year at a time.,
,5,CDC Wonder dataset,Births and deaths data by US County,https://wonder.cdc.gov/,sometimes used in population estimates and projections projects when data is not immediately available from our state Dept of Public Health,
,6,National Center for Educcation Statistics Data Lab,National Center for Education Statistics,https://nces.ed.gov/datalab/,Used to verify which colleges in our state house students annually and enrollment and percent of on-campus residency. We provide information on populations living in student housing to the Census Bureau each year.,
,7,SOI Tax Stats - Migration Data,,https://www.irs.gov/statistics/soi-tax-stats-migration-data,Used in migration analyses in my research unit,
,8,Medicare.gov nursing home compare database/ CMS Dataset explorer,Provider Information,https://data.cms.gov/provider-data/dataset/4pq5-n9py,Used to pull nursing homes and resident counts for our state which we submit to the Census Bureau on an annual basis,
,9,UMDI Municipal Summaries dashboard,US Census Deccennial Census data (PL-94),https://donahue.umass.edu/data/pep/dashboards/census2020_dashboard.html,"Our own (UMass Donahue Institute) dashboard, developed to let researchers and users quickly access time-series Decennial Census data for the cities and towns in our state ",
,10,UMDI Massachusetts Interactive maps,US Census Deccennial Census data (PL-94),https://donahue.umass.edu/business-groups/economic-public-policy-research/massachusetts-population-estimates-program/census-2020-data-for-massachusetts,"Our own (UMass Donahue Institute) map and graph dashboard, developed to let researchers and users quickly access time-series Decennial Census data for the cities and towns in our state ",
Michigan,1,data.census.gov,U.S. Census Bureau,https://data.census.gov/,Provides pre-tabulated decennial Census data and ACS data for almost all Census geographies,
,2,Population and Housing Unit estimates Tables,U.S. Census Bureau; Population Estimates Program,https://www.census.gov/programs-surveys/popest/data/tables.html,"Not necessarily an app, but provides annual population estimate data tables for states, counties, and sub-county geographies (Michigan cities, villages, and townships)",
,3,American Community Survey (ACS) Public Use Microdata Sample (PUMS) Files,U.S. Census Bureau; American Community Survey (ACS),https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,"Demographer on our team extracts ACS microdata files from FTP server; has created his own SQLite databases in R to store PUMS files and to enable the import, processing, and analysis of ACS microdata",
,4,IPUMS CPS,IPUMS; U.S. Bureau of Labor Statistics; Current Population Survey (CPS),https://cps.ipums.org/cps/,Use to create customized tabulations of state-level employment and demographic characteristics from CPS microdata; facilitates extract creation and harmonized time series comparisons,
,5,TIGERweb,U.S. Census Bureau,https://tigerweb.geo.census.gov/tigerwebmain/TIGERweb_apps.html,Used to identify boundaries and nesting schemes for Census geographies,
,6,IPUMS NHGIS,IPUMS; U.S. Census Bureau,https://www.nhgis.org/,Provides harmonized time series for Census data at various geographic summary levels; time series extends as far back as 1700s depending on geographic level and data element,
Minnesota,1,Population Estimates,"Building Permits, Census Population Estimates, Decennial Census",https://mn.gov/admin/demography/data-by-topic/population-data/our-estimates/pop-finder2.jsp,Population estimates for all cities and townships in the state.  Used to distribute local government aid,
,2,School District Estimates,Local Population estimates,https://mn.gov/admin/demography/data-by-place/school-district-data.jsp,Population estimates used for certification of local populations for funds distribution,
,3,Tax policy questions,"Decennial, population estimates, ACS, other sources as needed",N/A,"General questions from the legislature, governor, non-profits, and the general public used for assessing and proposing tax policy",
,4,Public health denominators,"Decennial, population estimates, ACS, other sources as needed",N/A,Frequent questions from state and local health officials for population sizes to use as denominators for rate calculations,
,5,Local planning estimates,"Decennial, population estimates, ACS, other sources as needed",N/A,"Questions on population size, composition, and distribution for local areas used in mandated planning processes",
,6,Estimates for grant applications,"Decennial, population estimates, ACS, other sources as needed",N/A,"Questions on population size, composition, and distribution for application and management processes for grants",
New York,1,County trends,CB Estimates/BLS/BEA,https://pad.human.cornell.edu/counties/trends1geo.cfm,Showing several trends over time by county,
,2,Census (1970 - 2020) age distributions - NY Counties,Decennial Census,https://pad.human.cornell.edu/counties/history2020.cfm,Putting 2020 age distributions in a historic context,
,3,Demographic Profiles for the New York primitive geographies,Decennial Census,https://pad.human.cornell.edu/census2020/downloads/2020DP_NYprimitiveGeo.xlsx,Demographic Profiles for Cities/Towns/Villages/Remainder of town (Excluding CDPs which can not be done in data.census.gov),
,4,County Characteristics Explorer,API to Population estimates (Census Bureau),https://pad.human.cornell.edu/tools/countychar.cfm,Exploring changes in county population characteristics (still waiting on API access to newer vintages),
,5,County Projections Explorer,Cornell projections,https://pad.human.cornell.edu/counties/projections.cfm,Exploring NY county projections,
,6,School district trends,NY Education department,https://pad.human.cornell.edu/schools/trends1geo.cfm,Trends in enrollment and performance within school districts,
Virginia,1,Virginia County & City Population Estimates,State administrative data,https://demographics.coopercenter.org/virginia-population-estimates,See the respective webpages,
,2,Virginia Town and School Division School Age Population Estimates,"State administrative data, Census Annual Population Estimates and Decennial Count",https://demographics.coopercenter.org/school-age-population-estimates/,,
,3,Virginia Division K-12 Enrollment Projections,State administrative data,https://demographics.coopercenter.org/school-enrollment-projections/,,
,4,Virginia County & City Population Projections,State administrative data and Decennial Census Count,https://demographics.coopercenter.org/virginia-population-projections,,
,5,Population projections by state,Decennial Census Count and Census Bureau Population Estimates,https://demographics.coopercenter.org/national-population-projections/,,
,6,Virginia Data Dashboard for 65+ Population,State administrative data and Census American Community Survey,https://demographics.coopercenter.org/data-dashboard-aging-virginia,,
Wyoming,1,Various tools including data.census.gov,U.S. Census Bureau,census.gov,,
,2,OnTheMap and QWI Explorer,U.S. Census Bureau,https://lehd.ces.census.gov/,,
,3,Data Retrieval Tools,U.S. Bureau of Labor Statistics,stats.bls.gov,,
,4,Interactive Data Tools,U.S. Bureau of Economic Analysis,www.bea.gov,,
,5,just data and reports,Wyoming Labor Market Information,doe.state.wy.us/lmi/,,
,6,mostly data and reports,U.S. Energy Information Administration,eia.gov,,
Guam,1,ESRI Enterprise,"Geospatial Data for property, natural resources, hazards, emergency response, and demographics. Sources are from territorial and federal government agencies.",https://www.esri.com/en-us/arcgis/products/arcgis-enterprise/overview,"For spatial planning and analysis, natural resource assessments, and hazard mitigation",
,2,Tableau,"For CENSUS Data products including decennial census, county business patterns, and economic census",https://www.tableau.com/,"For Visualization, and public reporting",
,3,Microsoft Power BI,"For CENSUS Data products including decennial census, county business patterns, and economic census",https://powerbi.microsoft.com/en-us/,"For Visualization, and public reporting",
,4,IMPLAN,county business patterns and economic census,https://implan.com/,"For economic modeling, and forecasting",
,5,,,,,
,6,,,,,
